Log file created on 2025-02-16
INFO | 2025-02-16 15:57:40.170602: Location dfs created.
INFO | 2025-02-16 15:58:53.527015: Template test created.
INFO | 2025-02-16 15:59:10.846125: Template test created.
INFO | 2025-02-16 16:07:17.141885: Team Wenatchee created.
INFO | 2025-02-16 16:15:02.026016: Template another test created.
INFO | 2025-02-16 16:19:51.325455: Location Pangborn created.
INFO | 2025-02-16 16:20:15.615442: Template Basic Riders Course created.
ERROR | 2025-02-16 16:37:26.993640: Location with ID Wenatchee not found.
INFO | 2025-02-16 16:38:27.286969: Location Pangborn updated.
INFO | 2025-02-16 16:38:35.171865: Location Pangborn updated.
INFO | 2025-02-16 16:40:03.640619: Location Pangborn updated.
INFO | 2025-02-16 16:42:47.273450: Template Basic Riders Course updated.
INFO | 2025-02-16 16:42:52.007281: Template Basic Riders Course updated.
INFO | 2025-02-16 16:42:57.085264: Template Basic Riders Course! updated.
INFO | 2025-02-16 16:43:24.763812: Location test updated.
INFO | 2025-02-16 16:43:30.597197: Location Pangborn updated.
INFO | 2025-02-16 16:43:33.100923: Location Pangborn updated.
INFO | 2025-02-16 16:43:37.619247: Location Pangborn updated.
INFO | 2025-02-16 16:52:43.530942: Template another test updated.
INFO | 2025-02-16 16:53:03.862606: Template another test updated.
INFO | 2025-02-16 19:47:45.679389: Location Wenatchee created.
ERROR | 2025-02-16 20:00:16.069297: Template creation failed. 'name'
ERROR | 2025-02-16 20:01:22.576786: Template creation failed. 'Template' object has no attribute 'name'
INFO | 2025-02-16 20:15:53.291130: Team Team 1 created.
INFO | 2025-02-16 20:28:55.379768: Location TWM created.
ERROR | 2025-02-16 20:29:06.670108: Template creation failed. 'Template' object has no attribute 'name'
INFO | 2025-02-16 20:29:49.662208: Template Advanced Rider created.
INFO | 2025-02-16 20:30:08.953157: Team Team A created.
ERROR | 2025-02-16 20:49:15.635893: Error updating cohort: type object 'Cohort' has no attribute 'get'
INFO | 2025-02-16 20:49:56.635275: Cohort Basic Rider! updated.
INFO | 2025-02-16 21:06:22.328389: Location test created.
INFO | 2025-02-16 21:08:14.147267: Location test2 created.
INFO | 2025-02-16 21:10:06.138346: Template created.
INFO | 2025-02-16 21:11:05.265005: Template deleted.
INFO | 2025-02-16 21:11:11.239506: Location deleted.
INFO | 2025-02-16 21:13:18.237477: Cohort created.
ERROR | 2025-02-16 21:13:52.801350: Error updating cohort: CRUDModel.update() missing 1 required positional argument: 'data'
ERROR | 2025-02-16 21:14:49.015376: Error updating cohort: CRUDModel.update() missing 1 required positional argument: 'data'
INFO | 2025-02-16 22:16:51.578653: Cohort updated.
INFO | 2025-02-16 22:16:51.580650: Cohort Basic Rider updated.
ERROR | 2025-02-16 22:18:31.573169: Invalid model name: cohort
ERROR | 2025-02-16 22:23:21.587791: Invalid model name: cohort
ERROR | 2025-02-16 22:23:42.981968: Invalid model name: cohort
ERROR | 2025-02-16 22:23:48.901997: Invalid model name: cohort
ERROR | 2025-02-16 22:24:33.392146: Invalid model name: cohort
ERROR | 2025-02-16 22:29:09.852705: Invalid model name: cohort
ERROR | 2025-02-16 22:31:08.845355: Invalid model name: cohort
ERROR | 2025-02-16 22:59:50.259413: Invalid model name: cohort
ERROR | 2025-02-16 23:00:02.872242: Invalid model name: cohort
INFO | 2025-02-16 23:00:21.688892: Cohort updated.
INFO | 2025-02-16 23:00:21.689894: Cohort updated successfully.
INFO | 2025-02-16 23:00:47.896456: Cohort updated.
INFO | 2025-02-16 23:02:17.828235: Cohort updated.
INFO | 2025-02-16 23:12:32.033557: Cohort deleted.
INFO | 2025-02-16 23:25:28.301142: User art Ivanenko created.
INFO | 2025-02-16 23:25:28.528624: User shy Picard created.
INFO | 2025-02-16 23:25:28.537796: Location Main Studio created.
INFO | 2025-02-16 23:25:28.540801: Location Downtown Branch created.
INFO | 2025-02-16 23:25:28.545796: Template Basic Dance Course created.
INFO | 2025-02-16 23:25:28.549243: Template Advanced Fitness created.
ERROR | 2025-02-16 23:26:08.839266: Email already exists.
ERROR | 2025-02-16 23:26:08.840266: User creation failed.
ERROR | 2025-02-16 23:26:34.456755: Email already exists.
ERROR | 2025-02-16 23:26:34.456755: User creation failed.
ERROR | 2025-02-16 23:27:00.445018: Email already exists.
ERROR | 2025-02-16 23:27:00.446018: User creation failed.
